,total_patients_hospitalized_confirmed_influenza_7_day_sum,3_day_moving_avg,7_day_moving_avg
0,0.0,0.0,0.0
1,85.0,28.333333333333332,12.142857142857142
2,85.0,56.666666666666664,24.285714285714285
3,85.0,85.0,36.42857142857143
4,85.0,85.0,48.57142857142857
5,85.0,85.0,60.714285714285715
6,85.0,85.0,72.85714285714286
7,342.0,170.66666666666666,121.71428571428571
8,342.0,256.3333333333333,158.42857142857142
9,342.0,342.0,195.14285714285714
10,342.0,342.0,231.85714285714286
11,342.0,342.0,268.57142857142856
12,342.0,342.0,305.2857142857143
13,350.0,344.6666666666667,343.14285714285717
14,350.0,347.3333333333333,344.2857142857143
15,350.0,350.0,345.42857142857144
16,350.0,350.0,346.57142857142856
17,350.0,350.0,347.7142857142857
18,350.0,350.0,348.85714285714283
19,44.0,248.0,306.2857142857143
20,44.0,146.0,262.57142857142856
21,44.0,44.0,218.85714285714286
22,44.0,44.0,175.14285714285714
23,44.0,44.0,131.42857142857142
24,44.0,44.0,87.71428571428571
25,32.0,40.0,42.285714285714285
26,32.0,36.0,40.57142857142857
27,32.0,32.0,38.857142857142854
28,32.0,32.0,37.142857142857146
29,32.0,32.0,35.42857142857143
30,32.0,32.0,33.714285714285715
31,28.0,30.666666666666668,31.428571428571427
32,28.0,29.333333333333332,30.857142857142858
33,28.0,28.0,30.285714285714285
34,28.0,28.0,29.714285714285715
35,28.0,28.0,29.142857142857142
36,28.0,28.0,28.571428571428573
37,33.0,29.666666666666668,28.714285714285715
38,33.0,31.333333333333332,29.428571428571427
39,33.0,33.0,30.142857142857142
40,33.0,33.0,30.857142857142858
41,33.0,33.0,31.571428571428573
42,33.0,33.0,32.285714285714285
43,32.0,32.666666666666664,32.857142857142854
44,32.0,32.333333333333336,32.714285714285715
45,32.0,32.0,32.57142857142857
46,32.0,32.0,32.42857142857143
47,32.0,32.0,32.285714285714285
48,32.0,32.0,32.142857142857146
49,0.0,21.333333333333332,27.428571428571427
50,0.0,10.666666666666666,22.857142857142858
51,0.0,0.0,18.285714285714285
52,0.0,0.0,13.714285714285714
53,0.0,0.0,9.142857142857142
54,0.0,0.0,4.571428571428571
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,37.0,12.333333333333334,5.285714285714286
62,37.0,24.666666666666668,10.571428571428571
63,37.0,37.0,15.857142857142858
64,37.0,37.0,21.142857142857142
65,37.0,37.0,26.428571428571427
66,37.0,37.0,31.714285714285715
67,0.0,24.666666666666668,31.714285714285715
68,0.0,12.333333333333334,26.428571428571427
69,0.0,0.0,21.142857142857142
70,0.0,0.0,15.857142857142858
71,0.0,0.0,10.571428571428571
